,d,svr,en,rfr
81,894,-14344.751491129104,-6974.781923665385,-14332.508024959556
82,863,-15565.226570225379,-6227.737797673837,-16724.477033396834
83,866,-15593.588721273656,-6311.283945985611,-16400.91837938889
84,871,-16624.038631578645,-6462.156239739118,-16925.294755636944
85,875,-16440.749664000523,-6591.309618243267,-16614.425964268456
86,883,-15723.370211268753,-6827.245060217542,-15742.811015917221
87,873,-16657.68662439157,-6530.710482311366,-16816.36746192903
88,900,-13697.290002452159,-6995.514958224498,-13684.67571178209
89,868,-15899.05220074985,-6368.249662077708,-16769.31585614548
90,889,-14927.04183315529,-6930.771037623103,-14946.829591844446
91,891,-14670.35078497063,-6948.368122055526,-14665.152807689432
92,897,-14005.981872276094,-6988.061931209428,-13967.932038881441
93,901,-13606.423327838758,-6996.825310459371,-13591.2952468907
94,896,-14121.247864104542,-6986.228655172725,-14105.113859407242
95,914,-12030.698228997446,-6940.269427251338,-12016.6924548056
96,911,-12472.786156912294,-6980.267807376832,-12448.62528773857
97,916,-11743.486993146176,-6913.20523864881,-11766.229587839975
98,919,-11311.519347962929,-6867.352232392289,-11346.714798461595
99,908,-12867.290591038038,-6996.453871975622,-12858.201213840115
100,902,-13509.03251063178,-6997.758077988958,-13496.364434808496
101,910,-12608.847173765558,-6989.422673965409,-12590.997075854264
102,895,-14236.339836714109,-6981.745724813107,-14209.73918504679
103,921,-11026.742544622983,-6835.679499954842,-11059.326678868603
104,912,-12324.384345605335,-6969.201954382707,-12310.493010642836
105,913,-12181.744556030339,-6955.02634305656,-12158.230748501466
106,915,-11885.298497556607,-6926.647716116947,-11898.995514490935
107,925,-10471.674042291988,-6760.717778240035,-10504.165064793286
108,892,-14565.743712580275,-6958.559040366341,-14549.384113090993
109,904,-13321.242183573511,-6999.824102386765,-13299.276041178719
110,920,-11171.471534809276,-6852.575992458141,-11192.01728705232
111,884,-15598.341977824573,-6852.063822997472,-15614.758071150343
112,867,-15689.538595816022,-6338.536561561525,-16392.248670601464
113,926,-10349.061075572667,-6743.756358721365,-10362.587049521262
